strategy,date,code,name,industry,prev_vol_ratio,buy,sell,ret,equity_after
A_no_lookahead,2024-01-11,sh.688073,毕得医药,M73研究和试验发展,1.5116775509558673,52.0,52.53,0.008692307692307612,1008692.3076923076
A_no_lookahead,2024-01-12,sz.301203,国泰环保,N77生态保护和环境治理业,2.3436674932557753,40.39,38.0,-0.06067306263926714,988292.1571695202
A_no_lookahead,2024-01-12,sz.002573,清新环境,N77生态保护和环境治理业,4.890359467428627,5.42,5.1,-0.06054059040590415,967936.5478876581
A_no_lookahead,2024-01-12,sz.300961,深水海纳,N77生态保护和环境治理业,2.4585181397387577,12.19,11.47,-0.06056480721903196,947572.7961680897
A_no_lookahead,2024-01-16,sz.002731,*ST萃华,C24文教、工美、体育和娱乐用品制造业,2.738169088825694,12.98,11.76,-0.09549075500770415,857088.3544372375
A_no_lookahead,2024-01-18,sz.000850,华茂股份,C17纺织业,2.64714368183932,4.17,4.18,0.0008980815347721673,857473.2220496316
A_no_lookahead,2024-01-18,sh.600448,华纺股份,C17纺织业,3.15238789470159,3.51,3.56,0.012745014245014343,862935.0236929009
A_no_lookahead,2024-01-22,sh.603608,天创时尚,C19皮革、毛皮、羽毛及其制品和制鞋业,1.8973956394264844,5.68,5.32,-0.06488028169014076,806947.5562754172
A_no_lookahead,2024-01-24,sz.300860,锋尚文化,R88文化艺术业,2.4982457613395788,43.8,45.08,0.027723744292237396,829319.1639828427
A_no_lookahead,2024-01-25,sh.600648,外高桥,F51批发业,5.7021097576088975,10.86,11.97,0.10070994475138134,871079.5075758296
A_no_lookahead,2024-01-25,sh.603970,中农立华,F51批发业,2.689912662024281,18.99,18.22,-0.0420476566614007,853644.0438408944
A_no_lookahead,2024-01-26,sh.600097,开创国际,A04渔业,4.82059970578879,12.0,10.8,-0.10149999999999998,824762.4203576108
A_no_lookahead,2024-01-26,sh.601949,中国出版,R86新闻和出版业,3.1646852390991045,8.29,8.14,-0.019594089264173553,819186.9611593279
A_no_lookahead,2024-01-26,sh.601858,中国科传,R86新闻和出版业,2.4241945690232423,24.99,23.91,-0.0447172869147659,806462.7459488232
A_no_lookahead,2024-01-29,sh.600657,信达地产,K70房地产业,4.5452917371383466,4.2,3.78,-0.10150000000000009,779177.4230442212
A_no_lookahead,2024-01-29,sh.600048,保利发展,K70房地产业,1.6695975366659217,10.18,9.87,-0.0319518664047152,770588.0930712424
A_no_lookahead,2024-01-29,sz.001979,招商蛇口,K70房地产业,2.093014586890844,9.4,9.28,-0.01426595744680864,766753.1053325284
A_no_lookahead,2024-02-07,sz.002306,ST云网,H62餐饮业,1.6455110421340329,2.59,2.33,-0.1018861003861003,688631.6214712643
A_no_lookahead,2024-02-19,sz.000504,南华生物,M75科技推广和应用服务业,1.8778972622837335,6.66,7.2,0.07958108108108114,743433.6703745653
A_no_lookahead,2024-02-22,sz.002771,真视通,I65软件和信息技术服务业,2.4981099835335696,19.41,20.46,0.052595826893354014,782535.1790082768
A_no_lookahead,2024-02-23,sz.300249,依米康,I65软件和信息技术服务业,2.783481443289906,7.2,7.57,0.04988888888888893,795548.4492073404
A_no_lookahead,2024-02-23,sz.301396,宏景科技,I65软件和信息技术服务业,1.8557509928693103,22.91,22.41,-0.023324530772588392,789464.3605862032
A_no_lookahead,2024-02-23,sz.300578,会畅科技,I65软件和信息技术服务业,2.3085344951549347,16.5,15.9,-0.03786363636363638,779587.818099629
A_no_lookahead,2024-02-26,sz.300503,昊志机电,C34通用设备制造业,1.5535281064442283,16.51,15.58,-0.057829497274379305,764560.0942323185
A_no_lookahead,2024-02-26,sz.002943,宇晶股份,C34通用设备制造业,2.339126792032528,24.9,23.78,-0.04647991967871473,752481.7011763933
A_no_lookahead,2024-02-26,sz.301255,通力科技,C34通用设备制造业,1.936459284674641,37.5,35.8,-0.04683333333333345,740311.4691271713
A_no_lookahead,2024-02-28,sz.002624,完美世界,I64互联网和相关服务,1.6127612081423206,11.93,11.2,-0.06269027661357923,693901.1383473837
A_no_lookahead,2024-03-04,sz.002739,儒意电影,R87广播、电视、电影和录音制作业,1.6142835158889346,13.0,12.88,-0.010730769230769153,691419.1073525258
