strategy,date,code,name,industry,amount,buy,sell,ret,equity_after
C_limit_up_conservative,2024-01-08,sz.002786,银宝山新,C35专用设备制造业,2029947103.72,16.8,16.61,-0.01280952380952388,987190.4761904761
C_limit_up_conservative,2024-01-10,sh.605117,德业股份,C38电气机械和器材制造业,2651010160.94,87.78,86.05,-0.02120836181362501,966253.7833924637
C_limit_up_conservative,2024-01-12,sz.000676,智度股份,L72商务服务业,2311985347.48,8.66,8.8,0.01466628175519641,980425.133626722
C_limit_up_conservative,2024-01-18,sz.002129,TCL中环,C38电气机械和器材制造业,4782076439.1,16.07,16.56,0.02899159925326683,989899.8311507009
C_limit_up_conservative,2024-01-18,sz.002459,晶澳科技,C38电气机械和器材制造业,3591829204.5,21.3,21.68,0.01634037558685436,995240.0027901183
C_limit_up_conservative,2024-01-18,sh.600732,爱旭股份,C38电气机械和器材制造业,2280402544.31,18.37,18.55,0.008298584648883946,997952.0497778832
C_limit_up_conservative,2024-01-23,sz.002230,科大讯飞,I65软件和信息技术服务业,4299831645.94,42.11,41.73,-0.01052398480170985,987449.6175731856
C_limit_up_conservative,2024-01-24,sh.603083,剑桥科技,C39计算机、通信和其他电子设备制造业,3613597229.59,44.65,43.0,-0.03845408734602457,968463.8806512067
C_limit_up_conservative,2024-01-24,sh.600318,新力金融,J66货币金融服务,2020010711.8,10.31,10.17,-0.015079049466537429,961018.979836657
C_limit_up_conservative,2024-01-25,sh.600050,中国联通,I63电信、广播电视和卫星传输服务,3757276810.6,4.53,4.49,-0.010330022075055232,951091.6325603973
C_limit_up_conservative,2024-01-31,sz.002423,中粮资本,J68保险业,2005656349.19,9.19,8.7,-0.05481882480957562,898953.9069772155
C_limit_up_conservative,2024-02-06,sh.601127,赛力斯,C36汽车制造业,4218783949.06,61.71,63.4,0.02588616107600067,922224.3726131279
C_limit_up_conservative,2024-02-07,sh.601127,赛力斯,C36汽车制造业,4953841795.72,67.88,70.91,0.043137595757218705,962006.9147963676
C_limit_up_conservative,2024-02-19,sz.300308,中际旭创,C39计算机、通信和其他电子设备制造业,5903577723.05,152.4,153.0,0.002437007874015741,962788.3876051065
C_limit_up_conservative,2024-02-19,sz.300502,新易盛,C39计算机、通信和其他电子设备制造业,4847893222.07,65.88,63.0,-0.04521584699453546,948289.0684494005
C_limit_up_conservative,2024-02-19,sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,3376731915.8,17.27,17.9,0.034979444122756276,959505.8908233421
C_limit_up_conservative,2024-02-20,sz.300364,中文在线,R86新闻和出版业,4737619706.04,27.77,26.86,-0.0342691753691034,943065.1530031856
C_limit_up_conservative,2024-02-20,sh.603000,人民网,I64互联网和相关服务,2023780628.49,25.64,24.11,-0.06117238689547583,913717.5202122189
C_limit_up_conservative,2024-02-21,sz.000001,平安银行,J66货币金融服务,5295259396.81,10.8,10.65,-0.01538888888888895,899656.4228178419
C_limit_up_conservative,2024-02-23,sh.601127,赛力斯,C36汽车制造业,6504401187.63,78.62,79.0,0.0033333757313661074,902655.3157042305
C_limit_up_conservative,2024-02-26,sh.600571,信雅达,I65软件和信息技术服务业,2313321100.19,15.35,14.01,-0.08879641693811074,862579.0368218931
C_limit_up_conservative,2024-02-26,sz.002229,鸿博股份,C23印刷和记录媒介复制业,2085388528.22,25.39,25.38,-0.0018938558487593946,861724.2872973629
C_limit_up_conservative,2024-02-27,sz.000063,中兴通讯,C39计算机、通信和其他电子设备制造业,7888985735.52,28.16,28.88,0.024068181818181877,868637.666238635
C_limit_up_conservative,2024-02-27,sh.603019,中科曙光,C39计算机、通信和其他电子设备制造业,3892974721.71,45.86,50.21,0.0933539031836022,895452.7748010738
C_limit_up_conservative,2024-02-27,sz.000938,紫光股份,C39计算机、通信和其他电子设备制造业,2641852227.18,20.56,21.25,0.032060311284046794,904661.8244316662
C_limit_up_conservative,2024-02-29,sh.601127,赛力斯,C36汽车制造业,9176799515.33,91.93,93.0,0.010139290764712263,907719.3675255488
C_limit_up_conservative,2024-02-29,sz.000938,紫光股份,C39计算机、通信和其他电子设备制造业,4859163258.35,22.1,22.3,0.007549773755656077,909996.0315588281
C_limit_up_conservative,2024-02-29,sz.002049,紫光国微,C39计算机、通信和其他电子设备制造业,4230786660.23,71.59,74.1,0.033560762676351275,920116.4118228635
C_limit_up_conservative,2024-03-01,sz.000977,浪潮信息,C39计算机、通信和其他电子设备制造业,7730602381.54,41.13,43.0,0.04396559688791629,933600.9009069168
C_limit_up_conservative,2024-03-01,sz.000938,紫光股份,C39计算机、通信和其他电子设备制造业,6615195804.31,24.31,24.84,0.020301727684080728,939827.5518504106
C_limit_up_conservative,2024-03-01,sh.603000,人民网,I64互联网和相关服务,3262093913.21,29.19,28.4,-0.02856406303528619,931066.7974547073
C_limit_up_conservative,2024-03-04,sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,5710595358.82,22.02,21.7,-0.016032243415077196,926091.1009438772
C_limit_up_conservative,2024-03-04,sz.002281,光迅科技,C39计算机、通信和其他电子设备制造业,3038430362.78,36.32,36.35,-0.0006740088105727225,925881.9185356385
C_limit_up_conservative,2024-03-04,sz.002156,通富微电,C39计算机、通信和其他电子设备制造业,2471900511.77,25.18,24.7,-0.020562748212867354,919500.1544938312
C_limit_up_conservative,2024-03-05,sz.002236,大华股份,C39计算机、通信和其他电子设备制造业,2853872050.97,20.98,20.78,-0.011032888465204947,909355.411845562
C_limit_up_conservative,2024-03-06,sh.603960,克来机电,C35专用设备制造业,3077617945.25,42.53,43.28,0.016134610862920395,924027.5075517809
C_limit_up_conservative,2024-03-08,sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,6824257679.97,24.87,23.68,-0.049348813831926075,908827.620403197
C_limit_up_conservative,2024-03-08,sz.002281,光迅科技,C39计算机、通信和其他电子设备制造业,5171270326.86,38.96,38.0,-0.026140657084188945,900776.0583327741
C_limit_up_conservative,2024-03-08,sz.002156,通富微电,C39计算机、通信和其他电子设备制造业,3401360224.63,26.07,25.35,-0.029117951668584496,891807.4622309956
C_limit_up_conservative,2024-03-11,sz.002281,光迅科技,C39计算机、通信和其他电子设备制造业,5444012899.45,42.86,42.86,-0.0015,891361.5584998801
C_limit_up_conservative,2024-03-11,sh.600733,北汽蓝谷,C36汽车制造业,2551073440.12,6.72,7.08,0.0520714285714286,906840.7880228896
C_limit_up_conservative,2024-03-11,sz.002261,拓维信息,I65软件和信息技术服务业,2114677887.79,16.97,17.3,0.017946081319976603,912175.604435876
C_limit_up_conservative,2024-03-13,sh.600733,北汽蓝谷,C36汽车制造业,4196770941.83,7.73,7.73,-0.0015,911719.5166336581
C_limit_up_conservative,2024-03-13,sz.002602,世纪华通,I64互联网和相关服务,2481153622.49,5.31,5.2,-0.022215630885122295,904964.6644568045
C_limit_up_conservative,2024-03-13,sz.000099,中信海直,G56航空运输业,2148194815.19,12.96,12.68,-0.023104938271605036,897939.4107790195
C_limit_up_conservative,2024-03-14,sz.002229,鸿博股份,C23印刷和记录媒介复制业,5694091640.29,30.12,28.9,-0.042004648074369266,860221.7818371402
C_limit_up_conservative,2024-03-18,sh.600418,江淮汽车,C36汽车制造业,3978616163.08,18.85,18.7,-0.009457559681697756,856153.9824165297
C_limit_up_conservative,2024-03-18,sh.601901,方正证券,J67资本市场服务,3394865086.98,8.24,8.24,-0.0015,855508.8160801518
C_limit_up_conservative,2024-03-20,sh.600006,东风股份,C36汽车制造业,2649253410.92,9.47,9.08,-0.04268268215417109,843337.0124545384
C_limit_up_conservative,2024-03-20,sz.000917,电广传媒,I63电信、广播电视和卫星传输服务,2538746782.93,8.43,8.8,0.042390865954923085,855425.5989697746
C_limit_up_conservative,2024-03-20,sz.002432,九安医疗,C35专用设备制造业,2495729695.32,47.11,49.88,0.05729855656973043,871765.4057344651
C_limit_up_conservative,2024-03-21,sh.600580,卧龙电驱,C38电气机械和器材制造业,3440378708.64,18.41,18.4,-0.002043183052688856,869984.229431548
C_limit_up_conservative,2024-03-22,sz.300133,华策影视,R87广播、电视、电影和录音制作业,5287286192.82,11.06,10.3,-0.07021609403254975,839440.7822012476
C_limit_up_conservative,2024-03-22,sz.300442,润泽科技,I65软件和信息技术服务业,3255868451.91,33.73,34.9,0.03318722205751562,853876.9621055883
C_limit_up_conservative,2024-03-26,sz.002151,北斗星通,C39计算机、通信和其他电子设备制造业,2114572291.2,33.3,32.8,-0.01651501501501501,839775.171255439
C_limit_up_conservative,2024-03-28,sz.000977,浪潮信息,C39计算机、通信和其他电子设备制造业,7627853660.38,44.35,44.49,0.001656708004509623,840470.8023795427
C_limit_up_conservative,2024-03-28,sh.600580,卧龙电驱,C38电气机械和器材制造业,3055520638.5,17.44,17.24,-0.01296788990825709,835025.7463952786
C_limit_up_conservative,2024-03-29,sz.002130,沃尔核材,C39计算机、通信和其他电子设备制造业,3083287112.34,12.25,12.25,-0.0015,833773.2077756857
C_limit_up_conservative,2024-04-01,sz.000100,TCL科技,C39计算机、通信和其他电子设备制造业,4988949614.34,5.14,5.11,-0.007336575875486249,830714.6875747888
C_limit_up_conservative,2024-04-01,sz.000099,中信海直,G56航空运输业,4176815741.23,17.29,17.29,-0.0015,830089.357668957
C_limit_up_conservative,2024-04-03,sz.000737,北方铜业,C32有色金属冶炼和压延加工业,2062002632.09,10.79,11.43,0.057814179796107645,878080.2930400656
C_limit_up_conservative,2024-04-10,sz.000099,中信海直,G56航空运输业,2530810113.31,15.95,15.42,-0.03472884012539185,867915.3896686503
C_limit_up_conservative,2024-04-10,sh.603663,三祥新材,C30非金属矿物制品业,2296865915.26,22.26,20.45,-0.08281176999101542,843676.9285816912
C_limit_up_conservative,2024-04-10,sz.001696,宗申动力,C34通用设备制造业,2137569624.6,9.64,9.18,-0.049217842323651506,829271.1894449074
C_limit_up_conservative,2024-04-15,sh.601766,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,3649830051.05,7.46,7.38,-0.01222386058981234,825892.2243079332
C_limit_up_conservative,2024-04-15,sz.000099,中信海直,G56航空运输业,3544231254.01,16.59,15.9,-0.043091320072332684,813980.7608908884
C_limit_up_conservative,2024-04-15,sz.002812,恩捷股份,C29橡胶和塑料制品业,2106092249.09,45.06,45.22,0.002050821127385584,814547.6565161037
C_limit_up_conservative,2024-04-17,sh.603986,兆易创新,C39计算机、通信和其他电子设备制造业,2535055070.07,75.76,76.51,0.008399683210137234,817968.6276532512
C_limit_up_conservative,2024-04-17,sz.002130,沃尔核材,C39计算机、通信和其他电子设备制造业,2472772944.66,12.16,12.16,-0.0015,817357.716910864
C_limit_up_conservative,2024-04-18,sz.000099,中信海直,G56航空运输业,3254185205.97,20.24,21.0,0.03604940711462451,846822.9780060637
C_limit_up_conservative,2024-04-19,sz.000099,中信海直,G56航空运输业,3140348786.18,22.26,23.5,0.054205300988319716,869774.1252093856
C_limit_up_conservative,2024-04-19,sz.301091,深城交,M74专业技术服务业,2239306400.6,49.38,46.9,-0.051722762251923904,847874.1134289488
C_limit_up_conservative,2024-04-24,sz.002130,沃尔核材,C39计算机、通信和其他电子设备制造业,2920287643.41,12.91,12.91,-0.0015,846602.3022588054
C_limit_up_conservative,2024-04-26,sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,8519029869.59,24.41,24.76,0.012838385907415097,850225.3046143069
C_limit_up_conservative,2024-04-26,sh.601901,方正证券,J67资本市场服务,3402214458.3,8.9,9.15,0.026589887640449394,857728.9913120427
C_limit_up_conservative,2024-04-26,sz.001696,宗申动力,C34通用设备制造业,2704475217.73,12.54,12.94,0.030397926634768757,866307.3095363392
C_limit_up_conservative,2024-04-29,sh.601099,太平洋,J67资本市场服务,4039492968.64,3.62,3.62,-0.0015,865874.1558815711
C_limit_up_conservative,2024-04-29,sz.000002,万科A,K70房地产业,3593552302.92,7.56,7.7,0.0170185185185186,870788.5782115952
C_limit_up_conservative,2024-04-29,sz.002130,沃尔核材,C39计算机、通信和其他电子设备制造业,3068428212.67,14.81,14.88,0.0032265361242403436,871720.3021545659
C_limit_up_conservative,2024-05-06,sz.301301,川宁生物,C27医药制造业,2135627058.4,15.82,16.5,0.04148356510745882,907882.3680644885
